1.800000;2.000000;SW;-78;-84;-78;-76;-56;0
1.800000;2.000000;S;-88;0;-84;-82;-65;-84
1.800000;2.000000;SE;-81;0;-83;-81;-66;0
1.800000;2.000000;E;-77;0;-86;-75;-65;-82
1.800000;2.000000;NE;-77;0;-85;-79;-59;-84
1.800000;2.000000;N;-77;0;-81;-82;-58;-89
1.800000;2.000000;NW;-74;0;-79;-79;-62;-84
1.800000;2.000000;SW;-74;-90;-84;-74;-63;-87
1.800000;2.000000;W;-77;0;-79;-76;-61;-80
2.260000;4.300000;SW;-77;-89;-81;-74;-69;-84
2.260000;4.300000;W;-78;-89;-84;-79;-65;-81
2.260000;4.300000;NE;-72;-90;-80;-81;-64;-85
2.260000;4.300000;N;-68;-87;-84;-74;-64;-81
2.260000;4.300000;NW;-70;-87;-84;-70;-69;-82
2.260000;4.300000;E;-77;0;0;-75;-61;-81
2.260000;4.300000;SE;-74;-90;-84;-78;-71;-81
2.260000;4.300000;S;-71;-90;-84;-76;-67;-87
2.310000;7.380000;SE;-79;-88;-77;-76;-87;-87
2.310000;7.380000;E;-76;0;-77;-75;-68;-87
2.310000;7.380000;NE;-71;-88;-78;-85;-70;-84
2.310000;7.380000;N;-72;-82;-83;-74;-71;-76
2.310000;7.380000;NW;-75;-84;-80;-68;-71;-84
2.310000;7.380000;W;-72;-91;-78;0;-75;-85
2.310000;7.380000;SW;-69;-87;-71;-73;-74;-84
2.310000;7.380000;S;-72;-85;-76;-79;-68;-87
2.250000;11.570000;SE;-82;-85;-79;-80;-85;-83
2.250000;11.570000;E;-74;-84;-80;-70;-77;-86
2.250000;11.570000;NE;-79;-90;-68;-71;-76;-84
2.250000;11.570000;N;-73;-80;-71;-71;-74;-89
2.250000;11.570000;NW;-77;-86;-82;-76;-79;-87
2.250000;11.570000;W;-72;-85;-68;-77;-81;-84
2.250000;11.570000;SW;-79;0;-66;-78;-80;-87
2.250000;11.570000;S;-71;-89;-73;-74;-70;-88
2.290000;14.580000;SE;-78;-81;-62;-75;-86;-90
2.290000;14.580000;S;-84;-85;-65;-84;-77;-87
2.290000;14.580000;E;-82;-90;-56;-81;-76;-86
2.290000;14.580000;NE;-73;-88;-54;-78;-81;-89
2.290000;14.580000;N;-71;-86;-63;-76;-79;-86
2.290000;14.580000;NW;-71;-87;-59;-85;-83;-85
2.290000;14.580000;W;-81;-88;-63;-84;-76;-88
2.290000;14.580000;SW;-81;-82;-61;-82;-80;-84
4.360000;16.610000;SW;-72;-89;-73;-86;-79;0
4.360000;16.610000;W;-69;-85;-63;-79;-87;-86
4.360000;16.610000;NW;-71;-77;-65;-80;-84;-85
4.360000;16.610000;N;-72;-74;-69;-79;-81;-84
4.360000;16.610000;NE;-69;-92;-63;-79;-79;-81
4.360000;16.610000;E;-79;-89;-67;-82;-75;-88
4.360000;16.610000;SE;-71;-82;-65;-79;-83;-88
4.360000;16.610000;S;-68;-83;-68;-81;0;-84
7.550000;16.590000;SW;-71;-90;-77;-83;-80;-88
7.550000;16.590000;W;-65;-86;-71;-75;0;0
7.550000;16.590000;NW;-66;-85;-68;-76;-86;-83
7.550000;16.590000;N;-67;-79;-68;-85;-88;-87
7.550000;16.590000;NE;-64;-89;-74;-78;0;0
7.550000;16.590000;E;-68;-85;-75;-81;-83;-85
7.550000;16.590000;SE;-74;-81;-66;-83;-88;0
7.550000;16.590000;S;-74;-86;-68;-82;-86;-86
10.770000;15.630000;SW;-67;-87;-89;-75;-77;-85
10.770000;15.630000;SE;-67;-80;-78;-84;-85;-89
10.770000;15.630000;NW;-65;-80;-84;0;-86;-84
10.770000;15.630000;W;-62;-78;-73;-83;-89;-83
10.770000;15.630000;S;-68;-82;-74;-79;-88;-87
