1;0.797909;1.257046;210;3.6651914292;0.785706;-78;-89;-87;-72;-60;-78;1;0.86;0.98;0.062091;0.277046
2;-0.281128;1.70916;155;2.7052603406;1.275276;-80;-88;-82;-72;-64;-84;;;;;
3;-0.130497;2.300091;92;1.6057029118;0.674474;-83;-87;-85;-80;-63;-86;;;;;
4;-0.008528;2.680898;90;1.5707963268;0.581497;-79;-88;-84;-79;-63;-89;;;;;
5;1.740228;2.512309;92;1.6057029118;0.840681;-73;-86;-82;-80;-60;-83;2;0.86;01/01/00;0.880228;0.467691
6;1.854959;3.205218;92;1.6057029118;0.680607;-76;-85;-85;-73;-66;-85;;;;;
7;1.871989;3.927487;96;1.6755160819;0.505808;-79;-84;-86;-75;-68;-86;3;0.86;03/01/00;1.011989;1.052513
8;1.788707;4.521386;98;1.710422667;0.722406;-76;-83;-82;-73;-71;-82;;;;;
9;1.729952;5.259691;99;1.7278759595;0.752762;-75;-86;-83;-73;-68;-81;4;0.86;05/01/00;0.869952;1.720309
10;2.628827;6.42081;47;0.8203047484;1.426075;-77;-87;-82;-73;-70;-81;;;;;
11;3.003663;6.57249;21;0.3665191429;0.502996;-77;-88;-84;-74;-73;-82;;;;;
12;4.153302;6.865352;21;0.3665191429;1.188348;-75;-88;-80;-73;-71;-86;;;;;
13;4.933282;6.807551;8;0.1396263402;0.594855;-71;-81;-72;-83;-74;-86;5;01/01/00;06/01/00;2.073282;1.172449
14;5.939688;6.710565;3;0.0523598776;0.860075;-74;-82;-71;-76;-70;-85;;;;;
15;6.839505;6.710781;3;0.0523598776;0.970274;-73;-84;-77;-74;-80;-84;6;03/01/00;06/01/00;1.979505;1.269219
16;7.533364;6.852339;8;0.1396263402;0.841199;-70;-87;-77;-74;-78;-85;;;;;
17;8.143336;6.953364;5;0.0872664626;0.719711;-65;-87;-76;-73;-82;-85;7;05/01/00;06/01/00;1.283336;1.026636
18;8.880414;6.999954;1;0.0174532925;0.720843;-61;-84;-74;-75;-79;-82;;;;;
19;9.566571;7.087619;4;0.0698131701;0.712007;-57;-81;-77;-70;-74;-84;8;07/01/00;06/01/00;0.706571;0.892381
20;10.241595;7.150819;3;0.0523598776;0.714521;-57;-81;-75;-66;-79;-81;;;;;
21;11.111722;7.186264;2;0.034906585;0.942139;-55;-78;-78;-67;-80;-81;9;09/01/00;06/01/00;0.251722;0.793736
22;12.188814;7.21895;4;0.0698131701;0.993873;-56;-78;-77;-66;-82;-82;;;;;
23;13.077136;7.263975;7;0.1221730476;0.759853;-61;-78;-77;-65;-81;-79;;;;;
24;14.194259;7.682956;21;0.3665191429;0.98574;-65;-80;-79;-64;-83;-76;10;11/01/00;06/01/00;1.334259;0.297044
25;14.774763;8.234359;57;0.9948376736;0.573964;-65;-78;-79;-63;-83;-82;;;;;
26;14.970865;8.856504;75;1.308996939;0.660527;-56;-78;-87;-63;-83;-76;11;13.86;08/01/00;1.110865;1.123496
27;15.10297;9.553202;68;1.1868238914;0.812947;-53;-80;-84;-63;-86;-78;;;;;
28;15.287926;10.081785;57;0.9948376736;0.693357;-55;-76;-83;-60;-79;-76;;;;;
29;15.649958;10.726459;57;0.9948376736;0.865663;-56;-71;-83;-58;-83;-81;;;;;
30;15.478401;13.436655;69;1.2042771839;0.857924;-61;-72;-84;-70;-82;-80;12;15.36;10/01/00;0.118401;1.456655
31;16.128725;14.461528;59;1.0297442587;0.965816;-61;-71;-83;-69;-81;-89;13;16.36;13.98;0.231275;0.481528
32;16.7485;15.025275;49;0.8552113335;0.697835;-61;-75;-80;-69;-84;-87;;;;;
33;17.373752;15.701135;36;0.6283185307;1.20888;-63;-71;-80;-70;-85;-83;14;17.86;15.48;0.486248;0.221135
34;17.735974;16.076079;53;0.9250245036;0.781486;-66;-71;-85;-72;-89;-83;;;;;
35;16.928074;16.448847;148;2.583087293;1.051989;-66;-66;-82;-70;-89;-80;;;;;
36;16.060889;16.501633;170;2.9670597284;0.912058;-65;-69;-81;-69;-88;-81;;;;;
37;15.027192;16.464727;173;3.019419606;0.927086;-69;-70;-86;-71;-86;-79;;;;;
38;14.111082;16.394265;179;3.1241393611;0.750861;-69;-70;-90;-72;-87;-78;15;14.86;15/01/00;0.748918;0.105735
39;13.253886;16.250392;188;3.2812189937;0.976464;-68;-72;-88;-69;-86;-86;;;;;
40;12.436085;16.166271;184;3.2114058237;0.693864;-63;-73;-87;-70;-84;-85;;;;;
41;11.435151;16.084755;181;3.1590459461;0.841723;-61;-74;-85;-71;-85;-85;16;11/01/00;15/01/00;1.424849;0.415245
42;10.745957;16.117633;179;3.1241393611;0.735778;-60;-80;-86;-75;-82;-84;;;;;
43;10.188196;16.230281;171;2.9845130209;0.587671;-62;-80;-81;-73;-86;-80;17;09/01/00;15/01/00;0.671804;0.269719
44;9.326279;16.300742;174;3.0368728985;0.697262;-63;-84;-78;-77;-89;-80;;;;;
45;8.388301;16.327965;173;3.019419606;0.69298;-67;-84;-79;-76;-84;-87;18;07/01/00;15/01/00;0.471699;0.172035
46;7.590769;16.42755;175;3.054326191;0.829187;-65;-87;-76;-78;-84;-84;;;;;
47;7.039675;16.435235;180;3.1415926536;0.794276;-64;-86;-80;-82;-83;-84;;;;;
48;6.142609;16.459368;181;3.1590459461;0.940369;-65;-85;-77;-81;-84;-86;19;05/01/00;15/01/00;0.717391;0.040632
49;5.156207;16.469742;181;3.1590459461;1.007586;-65;-87;-75;-82;-89;-87;;;;;
50;4.680924;16.46441;180;3.1415926536;0.583558;-67;-87;-71;-77;-85;-88;;;;;
