Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
105,08-avril-2016 11:26:59.489 ,"20,910591","6,3784",77,"0,637823", {Ml1B:-67,56WR:-82,tBfJ:-89,z6SH:-77,T0Fy:-77,IKAo:-85} , 08-avril-2016 11:26:59.425,43,08-avril-2016 11:26:59.489,"20,86","6,5","0,050591","0,1216"
106,08-avril-2016 11:27:01.626 ,"21,05854","7,028322",76,"0,947152", {Ml1B:-68,56WR:-77,tBfJ:-88,z6SH:-75,T0Fy:-77,IKAo:-87} , 08-avril-2016 11:27:00.453,44,08-avril-2016 11:27:01.626,"20,86","8,5","0,19854","1,471678"
107,08-avril-2016 11:27:01.626 ,"21,212176","7,695402",76,"0,871183", {Ml1B:-69,56WR:-76,tBfJ:-89,z6SH:-73,T0Fy:-80,IKAo:-89} , 08-avril-2016 11:27:01.504,,,,,,
108,08-avril-2016 11:27:01.626 ,"21,34265","8,166767",74,"0,740543", {Ml1B:-61,56WR:-76,tBfJ:-87,z6SH:-72,T0Fy:-77,IKAo:-85} , 08-avril-2016 11:27:02.526,,,,,,
109,08-avril-2016 11:27:03.774 ,"21,462262","8,847348",74,"0,905848", {Ml1B:-60,56WR:-83,tBfJ:-89,z6SH:-72,IKAo:-81,T0Fy:-82} , 08-avril-2016 11:27:03.551,45,08-avril-2016 11:27:03.774,"20,86","10,5","0,602262","1,652652"
110,08-avril-2016 11:27:03.774 ,"21,567177","9,556458",78,"0,712792", {Ml1B:-67,56WR:-75,tBfJ:-90,z6SH:-70,T0Fy:-80,IKAo:-83} , 08-avril-2016 11:27:04.588,,,,,,
111,08-avril-2016 11:27:06.073 ,"21,671773","10,726098",80,"1,008251", {Ml1B:-64,56WR:-69,tBfJ:-90,z6SH:-76,T0Fy:-78,IKAo:-83} , 08-avril-2016 11:27:05.652,46,08-avril-2016 11:27:06.073,"20,86","12,5","0,811773","1,773902"
112,08-avril-2016 11:27:06.073 ,"21,803297","11,856489",76,"0,982496", {Ml1B:-62,56WR:-63,tBfJ:-85,z6SH:-81,T0Fy:-82,IKAo:-87} , 08-avril-2016 11:27:06.656,,,,,,
113,08-avril-2016 11:27:08.129 ,"21,792196","12,541461",79,"0,626494", {Ml1B:-63,56WR:-65,tBfJ:-87,z6SH:-79,T0Fy:-82,IKAo:-84} , 08-avril-2016 11:27:07.700,47,08-avril-2016 11:27:08.129,"20,86","14,5","0,932196","1,958539"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MaxErrorX,MaxErrorY
,,,,,,,,,,,,,,,,,"2,096724","2,05799"
,,,,,,,,,,,,,,,,,MinErrorX,MinErrorY
,,,,,,,,,,,,,,,,,"0,050591","0,035193"
,,,,,,,,,,,,,,,,,MeanErrorX,MeanErrorY
,,,,,,,,,,,,,,,,,"0,9398533404","0,7231704894"
