Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
25,08-avril-2016 11:25:29.709 ,"14,774763","8,234359",57,"0,573964", {Ml1B:-65,56WR:-78,tBfJ:-79,z6SH:-63,T0Fy:-82,IKAo:-83} , 08-avril-2016 11:25:30.301,,,,,,
26,08-avril-2016 11:25:32.492 ,"14,970865","8,856504",75,"0,660527", {Ml1B:-56,56WR:-78,tBfJ:-87,z6SH:-63,T0Fy:-76,IKAo:-83} , 08-avril-2016 11:25:31.331,11,08-avril-2016 11:25:32.492,"13,86","9,98","1,110865","1,123496"
27,08-avril-2016 11:25:32.492 ,"15,10297","9,553202",68,"0,812947", {Ml1B:-53,56WR:-80,tBfJ:-84,z6SH:-63,T0Fy:-78,IKAo:-86} , 08-avril-2016 11:25:32.353,,,,,,
28,08-avril-2016 11:25:32.492 ,"15,287926","10,081785",57,"0,693357", {Ml1B:-55,56WR:-76,tBfJ:-83,z6SH:-60,T0Fy:-76,IKAo:-79} , 08-avril-2016 11:25:33.405,,,,,,
29,08-avril-2016 11:25:32.492 ,"15,649958","10,726459",57,"0,865663", {Ml1B:-56,56WR:-71,tBfJ:-83,z6SH:-58,T0Fy:-81,IKAo:-83} , 08-avril-2016 11:25:34.416,,,,,,
30,08-avril-2016 11:25:35.628 ,"15,478401","13,436655",69,"0,857924", {Ml1B:-61,56WR:-72,tBfJ:-84,z6SH:-70,T0Fy:-80,IKAo:-82} , 08-avril-2016 11:25:36.680,12,08-avril-2016 11:25:35.628,"15,36","11,98","0,118401","1,456655"
31,08-avril-2016 11:25:38.414 ,"16,128725","14,461528",59,"0,965816", {Ml1B:-61,56WR:-71,tBfJ:-83,z6SH:-69,IKAo:-81,T0Fy:-89} , 08-avril-2016 11:25:37.690,13,08-avril-2016 11:25:38.414,"16,36","13,98","0,231275","0,481528"
32,08-avril-2016 11:25:38.414 ,"16,7485","15,025275",49,"0,697835", {Ml1B:-61,56WR:-75,tBfJ:-80,z6SH:-69,IKAo:-84,T0Fy:-87} , 08-avril-2016 11:25:38.774,,,,,,
33,08-avril-2016 11:25:40.828 ,"17,373752","15,701135",36,"1,20888", {Ml1B:-63,56WR:-71,tBfJ:-80,z6SH:-70,T0Fy:-83,IKAo:-85} , 08-avril-2016 11:25:39.791,14,08-avril-2016 11:25:40.828,"17,86","15,48","0,486248","0,221135"
34,08-avril-2016 11:25:40.828 ,"17,735974","16,076079",53,"0,781486", {Ml1B:-66,56WR:-71,tBfJ:-85,z6SH:-72,T0Fy:-83,IKAo:-89} , 08-avril-2016 11:25:40.812,,,,,,
35,08-avril-2016 11:25:40.828 ,"16,928074","16,448847",148,"1,051989", {Ml1B:-66,56WR:-66,tBfJ:-82,z6SH:-70,T0Fy:-80,IKAo:-89} , 08-avril-2016 11:25:41.913,,,,,,
36,08-avril-2016 11:25:40.828 ,"16,060889","16,501633",170,"0,912058", {56WR:-65,Ml1B:-69,tBfJ:-81,z6SH:-69,T0Fy:-81,IKAo:-88} , 08-avril-2016 11:25:42.924,,,,,,
37,08-avril-2016 11:25:40.828 ,"15,027192","16,464727",173,"0,927086", {Ml1B:-69,56WR:-70,tBfJ:-86,z6SH:-71,T0Fy:-79,IKAo:-86} , 08-avril-2016 11:25:43.951,,,,,,
38,08-avril-2016 11:25:45.414 ,"14,111082","16,394265",179,"0,750861", {Ml1B:-69,56WR:-70,tBfJ:-90,z6SH:-72,T0Fy:-78,IKAo:-87} , 08-avril-2016 11:25:45.002,15,08-avril-2016 11:25:45.414,"14,86","16,5","0,748918","0,105735"
39,08-avril-2016 11:25:45.414 ,"13,253886","16,250392",188,"0,976464", {Ml1B:-68,56WR:-72,tBfJ:-88,z6SH:-69,IKAo:-86,T0Fy:-86} , 08-avril-2016 11:25:46.095,,,,,,
40,08-avril-2016 11:25:45.414 ,"12,436085","16,166271",184,"0,693864", {Ml1B:-63,56WR:-73,tBfJ:-87,z6SH:-70,IKAo:-84,T0Fy:-85} , 08-avril-2016 11:25:47.104,,,,,,
41,08-avril-2016 11:25:47.895 ,"11,435151","16,084755",181,"0,841723", {Ml1B:-61,56WR:-74,tBfJ:-85,z6SH:-71,IKAo:-85,T0Fy:-85} , 08-avril-2016 11:25:48.114,16,08-avril-2016 11:25:47.895,"12,86","16,5","1,424849","0,415245"
42,08-avril-2016 11:25:47.895 ,"10,745957","16,117633",179,"0,735778", {Ml1B:-60,56WR:-80,tBfJ:-86,z6SH:-75,IKAo:-82,T0Fy:-84} , 08-avril-2016 11:25:49.126,,,,,,
43,08-avril-2016 11:25:50.634 ,"10,188196","16,230281",171,"0,587671", {Ml1B:-62,56WR:-80,tBfJ:-81,z6SH:-73,T0Fy:-80,IKAo:-86} , 08-avril-2016 11:25:50.214,17,08-avril-2016 11:25:50.634,"10,86","16,5","0,671804","0,269719"
44,08-avril-2016 11:25:50.634 ,"9,326279","16,300742",174,"0,697262", {Ml1B:-63,56WR:-84,tBfJ:-78,z6SH:-77,T0Fy:-80,IKAo:-89} , 08-avril-2016 11:25:51.233,,,,,,
